一不小心	yrt brt siu srm
中国移动通信	zuj guok yi duj tuj sxn
中国精密机械进出口公司	zuj guok zij mrt gei hai zxn cxt hru guj si
中国红	zuj guok huj
中国经营报	zuj guok gij yij bou
中国美术馆	zuj guok mei sxt gun
中国联合航空	zuj guok lvn hrp hoj huj
中国联通	zuj guok lvn tuj
中国致公党	zuj guok zi guj doj
中国航天工业公司	zuj guok hoj tin guj yip guj si
中国航天技术进出口公司	zuj guok hoj tin gei sxt zxn cxt hru guj si
中国航海日	zuj guok hoj hoi yrt
中国航空工业公司	zuj guok hoj huj guj yip guj si
中国航空运输协会	zuj guok hoj huj wrn sv hip wui
中国船舶工业集团	zuj guok svn bok guj yip zap tvn
中国船舶贸易公司	zuj guok svn bok mru yik guj si
中国船舶重工集团公司	zuj guok svn bok cuj guj zap tvn guj si
中国菜	zuj guok coi
中国制造	zuj guok zri zou
中国西北边陲	zuj guok sri brk bin sxi
中国话	zuj guok wa
中国证券报	zuj guok zij hvn bou
中国证券监督管理委员会	zuj guok zij hvn gam duk gun lei wri yvn wui
中国证监会	zuj guok zij gam wui
中国农业银行	zuj guok nuj yip jrn hoj
中国通	zuj guok tuj
中国进出口银行	zuj guok zxn cxt hru jrn hoj
中国游艺机游乐园协会	zuj guok yru jri gei yru lok yvn hip wui
中国邮政	zuj guok yru zij
中国银联	zuj guok jrn lvn
中国银行	zuj guok jrn hoj
中国银行业监督管理委员会	zuj guok jrn hoj yip gam duk gun lei wri yvn wui
中国长城工业公司	zuj guok cxj sij guj yip guj si
中国电信	zuj guok din sxn
中国电视公司	zuj guok din si guj si
中国青年报	zuj guok cij nin bou
中国餐馆症候群	zuj guok can gun zij hru qurn
中国鸟类学会	zuj guok niu lxi hok wui
中土	zuj tou
中型	zuj yij
中埔	zuj bou
中埔乡	zuj bou hxj
中坚	zuj gin
中场	zuj cxj
中压管	zuj at gun
中坜	zuj lik
中坜市	zuj lik si
中外	zuj joi
中大西洋脊	zuj dai sri yxj zek
中天	zuj tin
中央	zuj yxj
中央人民政府驻香港特别行政区联络办公室	zuj yxj yrn mrn zij fu zv hxj goj drk bit hrj zij kxi lvn lok ban guj srt
中央全会	zuj yxj cvn wui
中央凹	zuj yxj nrp
中央分车带	zuj yxj frn ce dai
中央汇金	zuj yxj wui grm
中央执行委员会	zuj yxj zrp hrj wri yvn wui
中央委员会	zuj yxj wri yvn wui
中央宣传部	zuj yxj svn cvn bou
中央专制集权	zuj yxj zvn zri zap kvn
中央广播电台	zuj yxj guoj bo din toi
中央情报局	zuj yxj cij bou guk
中央戏剧学院	zuj yxj hei kek hok yvn
中央政府	zuj yxj zij fu
中央日报	zuj yxj yrt bou
中央民族大学	zuj yxj mrn zuk dai hok
中央海岭	zuj yxj hoi lij
中央直辖市	zuj yxj zik hrt si
中央省	zuj yxj saj
中央研究院	zuj yxj yin gru yvn
中央社	zuj yxj se
中央处理机	zuj yxj cv lei gei
中央财经大学	zuj yxj coi gij dai hok
中央军事委员会	zuj yxj gurn si wri yvn wui
中央军委	zuj yxj gurn wri
中央邦	zuj yxj boj
中央银行	zuj yxj jrn hoj
中央集权	zuj yxj zap kvn
中央电视台	zuj yxj din si toi
中央音乐学院	zuj yxj yrm jok hok yvn
中子	zuj zi
中子俘获	zuj zi fu wok
中子射线摄影	zuj zi se sin sip yij
中子弹	zuj zi dan
中子数	zuj zi sou
中子星	zuj zi sij
中子源	zuj zi yvn
中学生	zuj hok saj
中宣部	zuj svn bou
中密度纤维板	zuj mrt dou cim wri ban
中宁	zuj nij
中宁县	zuj nij yvn
中寮	zuj liu
中寮乡	zuj liu hxj
中将	zuj zxj
中专	zuj zvn
中尉	zuj wri
中小企业	zuj siu kei yip
中小型企业	zuj siu yij kei yip
中局	zuj guk
中层	zuj crj
中山	zuj san
中山公园	zuj san guj yvn
中山区	zuj san kxi
中山大学	zuj san dai hok
中山市	zuj san si
中山成彬	zuj san sij brn
中山服	zuj san fuk
中山狼传	zuj san loj zvn
中山装	zuj san zoj
中山陵	zuj san lij
中岛	zuj dou
中岳	zuj jok
中巴	zuj ba
中巴士	zuj ba si
中常	zuj sxj
中帮	zuj boj
中年	zuj nin
中度性肺水肿	zuj dou sij fri sxi zuj
中庭	zuj tij
中庸	zuj yuj
中厅	zuj tej
中式	zuj sik
中式英语	zuj sik yij yv
中弹	zuj dan
中彩	zuj coi
中径	zuj gij
中复电讯	zuj fuk din sxn
中德诊所	zuj drk crn so
中心区	zuj srm kxi
中心埋置关系从句	zuj srm mai zi guan hri cuj gxi
中心矩	zuj srm gxi
中心粒	zuj srm lrp
中心语	zuj srm yv
中心点	zuj srm dim
中性	zuj sij
中性粒细胞	zuj sij lrp sri bau
中情局	zuj cij guk
中意	zuj yi
中成药	zuj sij yxk
中招	zuj ziu
中括号	zuj kut hou
中指	zuj zi
中控面板	zuj huj min ban
中提琴	zuj tri krm
中文	zuj mrn
中文标准交换码	zuj mrn biu zxn gau wun ma
中新世	zuj srn sri
中新社	zuj srn se
中新网	zuj srn moj
中断	zuj tvn
中方	zuj foj
中方县	zuj foj yvn
中旅社	zuj lxi se
中日	zuj yrt
中日关系	zuj yrt guan hri
中日韩	zuj yrt hon
中日韩统一表意文字	zuj yrt hon tuj yrt biu yi mrn zi
中日韩越	zuj yrt hon yvt
中旬	zuj cxn
中时	zuj si
中暑	zuj sv
中朝	zuj ciu
中期	zuj kei
中村	zuj cvn
中杓鹬	zuj sxk wrt
中杜鹃	zuj dou gvn
中东	zuj duj
中板	zuj ban
中校	zuj gau
中枪	zuj cxj
中乐透	zuj lok tru
中标	zuj biu
中枢	zuj sv
中枢神经系统	zuj sv srn gij hri tuj
中欧	zuj ru
中止	zuj zi
中正	zuj zij
中正区	zuj zij kxi
中正纪念堂	zuj zij gei nim toj
中段	zuj dvn
中毒	zuj duk
中毒性	zuj duk sij
中毒途径	zuj duk tou gij
中毒酶	zuj duk mui
中气层	zuj hei crj
中气层顶	zuj hei crj dej
中江	zuj goj
中江县	zuj goj yvn
中沙群岛	zuj sa qurn dou
中油	zuj yru
中法	zuj fat
中法战争	zuj fat zin zrj
中法新约	zuj fat srn yxk
中波	zuj bo
中洋脊	zuj yxj zek
中流	zuj lru
中流砥柱	zuj lru dri cv
中海油	zuj hoi yru
中港	zuj goj
中港台	zuj goj toi
中游	zuj yru
中源地震	zuj yvn dei zrn
中澳	zuj ou
中灶	zuj zou
中爪哇	zuj zau wa
中牟	zuj mru
中牟县	zuj mru yvn
中奖	zuj zxj
中环	zuj wan
中生代	zuj srj doi
中产	zuj can
中产阶级	zuj can gai krp
中田英寿	zuj tin yij sru
中甸	zuj din
中甸县	zuj din yvn
中白鹭	zuj bak lou
中的	zuj dik
中盘	zuj pun
中看	zuj hon
中看不中用	zuj hon brt zuj yuj
中短债	zuj dvn zai
中石化	zuj sek fa
中石器时代	zuj sek hei si doi
中石油川东钻探公司	zuj sek yru cvn duj zvn tam guj si
中研院	zuj yin yvn
中秋	zuj cru
中秋节	zuj cru zit
中科院	zuj fo yvn
中程	zuj cij
中空	zuj huj
中空玻璃	zuj huj bo lei
中立	zuj lap
中立国	zuj lap guok
中立性	zuj lap sij
中立派	zuj lap pai
中站	zuj zam
中站区	zuj zam kxi
中等专业学校	zuj drj zvn yip hok hau
中等专业教育	zuj drj zvn yip gau yuk
中等师范学校	zuj drj si fan hok hau
中等技术学校	zuj drj gei sxt hok hau
中等教育	zuj drj gau yuk
中等普通教育	zuj drj pou tuj gau yuk
中筋面粉	zuj grn min frn
中箭落马	zuj zin lok ma
中篇小说	zuj pin siu svt
中签	zuj cim
中纪委	zuj gei wri
中级	zuj krp
中组部	zuj zou bou
中缀	zuj zxi
中线	zuj sin
中缝	zuj fuj
中继	zuj gri
中继器	zuj gri hei
中继站	zuj gri zam
中美	zuj mei
中美文化研究中心	zuj mei mrn fa yin gru zuj srm
中美洲	zuj mei zru
中老年	zuj lou nin
中老年人	zuj lou nin yrn
中耳	zuj yi
中耳炎	zuj yi yim
中联航	zuj lvn hoj
中声	zuj sij
中听	zuj tij
中胚层	zuj pui crj
中脊	zuj zek
中台	zuj toi
中兴	zuj hij
中兴新村	zuj hij srn cvn
中举	zuj gxi
中英	zuj yij
中英对照	zuj yij dxi ziu
中英文对照	zuj yij mrn dxi ziu
中草药	zuj cou yxk
中华	zuj wa
中华人民共和国	zuj wa yrn mrn guj wo guok
中华仙鹟	zuj wa sin yuj
中华全国妇女联合会	zuj wa cvn guok fu nxi lvn hrp wui
中华全国总工会	zuj wa cvn guok zuj guj wui
中华全国体育总会	zuj wa cvn guok tri yuk zuj wui
中华字海	zuj wa zi hoi
中华攀雀	zuj wa pan zxk
中华民国	zuj wa mrn guok
中华田园犬	zuj wa tin yvn hvn
中华短翅莺	zuj wa dvn ci rj
中华秋沙鸭	zuj wa cru sa ap
中华台北	zuj wa toi brk
中华航空公司	zuj wa hoj huj guj si
中华苏维埃共和国	zuj wa sou wri ai guj wo guok
中华电视	zuj wa din si
中华鹧鸪	zuj wa ze gu
中叶	zuj yip
中药	zuj yxk
中苏解决悬案大纲协定	zuj sou gai kvt yvn on dai goj hip dij
中号	zuj hou
中行	zuj hoj
中卫	zuj wri
中卫市	zuj wri si
中装	zuj zoj
中西	zuj sri
中西区	zuj sri kxi
中西合并	zuj sri hrp bij
中西合璧	zuj sri hrp bik
中西部	zuj sri bou
中西医	zuj sri yi
中西医结合	zuj sri yi git hrp
中规中矩	zuj quri zuj gxi
中视	zuj si
中计	zuj gri
中试	zuj si
中财	zuj coi
中资	zuj zi
中贼鸥	zuj cak ru
中越战争	zuj yvt zin zrj
中轴	zuj zuk
中轴线	zuj zuk sin
中辍	zuj zvt
中转	zuj zvn
中转柜台	zuj zvn guri toi
中转站	zuj zvn zam
中辣	zuj lat
中办	zuj ban
中农	zuj nuj
中途	zuj tou
中途岛	zuj tou dou
中途岛战役	zuj tou dou zin yik
中途搁浅	zuj tou gok cin
中途退场	zuj tou txi cxj
中远	zuj yvn
中远太平洋	zuj yvn tai pij yxj
中远太平洋有限公司	zuj yvn tai pij yxj yru han guj si
中远集团	zuj yvn zap tvn
中远香港集团	zuj yvn hxj goj zap tvn
中选	zuj svn
中邪	zuj ce
中部	zuj bou
中都	zuj dou
中医	zuj yi
中医学	zuj yi hok
中量级	zuj lxj krp
中银	zuj jrn
中锋	zuj fuj
中长跑	zuj cxj pau
中间	zuj gan
中间件	zuj gan gin
中间名	zuj gan mej
中间层	zuj gan crj
中间派	zuj gan pai
中间神经元	zuj gan srn gij yvn
中间纤维	zuj gan cim wri
中间路线	zuj gan lou sin
中关村	zuj guan cvn
中阮	zuj yvn
中阳	zuj yxj
中阳县	zuj yxj yvn
中隔	zuj gak
中青	zuj cij
中青年	zuj cij nin
中非	zuj fei
中非共和国	zuj fei guj wo guok
中韩	zuj hon
中风	zuj fuj
中饭	zuj fan
中饱	zuj bau
中饱私囊	zuj bau si noj
中餐	zuj can
中餐馆	zuj can gun
中体西用	zuj tri sri yuj
中高度防空	zuj gou dou foj huj
中魔	zuj mo
中点	zuj dim
丰姿	fuj zi
串供	cvn guj
串口	cvn hru
串味	cvn mei
串岗	cvn goj
串换	cvn wun
串烧	cvn siu
串线	cvn sin
串联	cvn lvn
串处理	cvn cv lei
串号	cvn hou
串行	cvn hoj
串行口	cvn hoj hru
串行点阵打印机	cvn hoj dim zrn da yrn gei
串亲访友	cvn crn foj yru
串谋	cvn mru
串通	cvn tuj
串通一气	cvn tuj yrt hei
串乡	cvn hxj
串门	cvn mun
串门儿	cvn mun yi
串门子	cvn mun zi
串音	cvn yrm
丸子	yvn zi
丹佛	dan frt
丹参	dan srm
丹宁	dan nij
丹寨	dan zai
丹寨县	dan zai yvn
丹尼	dan nei
丹尼斯	dan nei si
丹尼尔	dan nei yi
丹巴	dan ba
丹巴县	dan ba yvn
丹布朗	dan bou loj
丹徒	dan tou
丹徒区	dan tou kxi
丹心	dan srm
丹方	dan foj
丹东	dan duj
丹东市	dan duj si
丹桂	dan guri
丹毒	dan duk
丹江口	dan goj hru
丹江口市	dan goj hru si
丹沙	dan sa
丹瑞	dan sxi
丹瑞大将	dan sxi dai zxj
丹瑞将军	dan sxi zxj gurn
丹田	dan tin
丹皮	dan pei
丹砂	dan sa
丹棱	dan lij
丹棱县	dan lij yvn
丹衷	dan cuj
丹阳	dan yxj
丹阳市	dan yxj si
丹霞	dan ha
丹霞地貌	dan ha dei mau
丹霞山	dan ha san
丹青	dan cij
丹顶鹤	dan dij hok
丹魄	dan pak
丹凤	dan fuj
丹凤眼	dan fuj jan
丹凤县	dan fuj yvn
丹麦	dan mrk
丹麦包	dan mrk bau
主人	zv yrn
主人公	zv yrn guj
主人翁	zv yrn yuj
主修	zv sru
主仆	zv buk
主公	zv guj
主力	zv lik
主力舰	zv lik lam
主动免疫	zv duj min yik
主动脉	zv duj mrk
主和弦	zv wo yin
主和派	zv wo pai
主因	zv yrn
主场	zv cxj
主委	zv wri
主妇	zv fu
主嫌	zv yim
主子	zv zi
主宰	zv zoi
主宰者	zv zoi ze
主导	zv dou
主导性	zv dou sij
主导权	zv dou kvn
主峰	zv fuj
主席	zv zik
主席国	zv zik guok
主席团	zv zik tvn
主席台	zv zik toi
主干	zv gon
主干网络	zv gon moj lok
主干网路	zv gon moj lou
主干线	zv gon sin
主序星	zv zxi sij
主厨	zv cv
主厅	zv tej
主张	zv zxj
主从	zv cuj
主心骨	zv srm gurt
主意	zv yi
主战派	zv zin pai
主打品牌	zv da brn pai
主承销商	zv sij siu sxj
主持	zv ci
主持人	zv ci yrn
主掌	zv zxj
主播	zv bo
主攻	zv guj
主教	zv gau
主料	zv liu
主旋律	zv svn lxt
主族	zv zuk
主日	zv yrt
主日学	zv yrt hok
主材	zv coi
主板	zv ban
主格	zv gak
主业	zv yip
主楼	zv lru
主机	zv gei
主机名	zv gei mej
主机板	zv gei ban
主权	zv kvn
主权国家	zv kvn guok ga
主治医师	zv zi yi si
主法向量	zv fat hxj lxj
主流	zv lru
主演	zv yin
主犯	zv fan
主球	zv kru
主环	zv wan
主祭	zv zri
主祷文	zv tou mrn
主科	zv fo
主管	zv gun
主管人员	zv gun yrn yvn
主管教区	zv gun gau kxi
主管机关	zv gun gei guan
主簿	zv bou
主线	zv sin
主编	zv pin
主罚	zv frt
主义	zv yi
主航道	zv hoj dou
主菜	zv coi
主见	zv gin
主观	zv gun
主观主义	zv gun zv yi
主角	zv gok
主计	zv gri
主计室	zv gri srt
主词	zv ci
主语	zv yv
主调	zv diu
主谓句	zv wri gxi
主谓结构	zv wri git kru
主谓宾	zv wri brn
主讲	zv goj
主宾	zv brn
主宾谓	zv brn wri
主车群	zv ce qurn
主轴	zv zuk
主轴承	zv zuk sij
主办	zv ban
主办国	zv ban guok
主办权	zv ban kvn
主销	zv siu
主队	zv dxi
主音	zv yrm
主页	zv yip
主题	zv tri
主顾	zv gu
主显节	zv hin zit
主食	zv sik
主体	zv tri
主体思想	zv tri si sxj
主麻	zv ma
乃堆拉	nai dxi lai
乃堆拉山口	nai dxi lai san hru
乃是	nai si
乃东	nai duj
乃东县	nai duj yvn
乃尔	nai yi
乃至	nai zi
久久	gru gru
久之	gru zi
久仰	gru yxj
久仰大名	gru yxj dai mij
久假不归	gru ga brt guri
久别	gru bit
久别重逢	gru bit cuj fuj
久已	gru yi
久慕	gru mou
久慕盛名	gru mou sij mij
久攻不下	gru guj brt ha
久旷	gru quoj
久治	gru zi
久治县	gru zi yvn
久留	gru lru
久病	gru bej
久病成良医	gru bej sij lxj yi
久病成医	gru bej sij yi
久等	gru drj
久经考验	gru gij hau yim
久而久之	gru yi gru zi
久闻大名	gru mrn dai mij
久负盛名	gru fu sij mij
久违	gru wri
久远	gru yvn
久长	gru cxj
久阔	gru fut
久陪	gru pui
幺并矢	yiu bij ci
幺二	yiu yi
幺麽小丑	yiu mo siu cru
幺点	yiu dim
之一	zi yrt
之上	zi sxj
之下	zi ha
之中	zi zuj
之乎者也	zi fu ze ya
之内	zi noi
之前	zi cin
之外	zi joi
之字形	zi zi yij
之后	zi hru
之所以	zi so yi
之至	zi zi
之间	zi gan
之际	zi zri
之类	zi lxi
乍得	za drk
乍得湖	za drk wu
乍浦	za pou
乍浦镇	za pou zrn
乍看	za hon
乍青乍白	za cej za bak
乏人照顾	frt yrn ziu gu
乏力	frt lik
乏味	frt mei
乏善可陈	frt sin ho crn
乏燃料	frt yin liu
乏燃料棒	frt yin liu  paj
乒乓	bij brm
乒乓球	bij brm kru
乒乓球拍	bij brm kru pak
乒乓球台	bij brm kru toi
乖僻	guai pik
乖巧	guai hau
乖张	guai zxj
乖忤	guai j
乖戾	guai lxi
乖离	guai lei
乖觉	guai gok
乖谬	guai mru
乖迕	guai j
乖顺	guai sxn
乘人不备	sij yrn brt bei
乘人之危	sij yrn zi jri
乘便	sij bin
乘幂	sij mik
乘务	sij mou
乘务员	sij mou yvn
乘胜	sij sij
乘胜追击	sij sij zxi gik
乘势	sij sri
乘坐	sij zo
乘坚策肥	sij gin cak fei
乘客	sij hak
乘数	sij sou
乘方	sij foj
乘机	sij gei
乘法	sij fat
乘法表	sij fat biu
乘法逆	sij fat yik
乘凉	sij lxj
乘火打劫	sij fo da gip
乘用车	sij yuj ce
乘积	sij zik
乘兴	sij hij
乘船	sij  svn
乘虚	sij hxi
乘虚而入	sij hxi yi yrp
乘号	sij hou
乘警	sij gij
乘车	sij ce
乘除	sij cxi
乘隙	sij quik
乘风	sij fuj
乘风破浪	sij fuj po loj
乘鹤	sij hok
乘龙	sij luj
乘龙快婿	sij luj fai sri
乙丑	yvt cru
乙二醇	yvt yi sxn
乙亥	yvt hoi
乙卯	yvt mau
乙型	yvt yij
乙型肝炎	yvt yij gon yim
乙型脑炎	yvt yij nou yim
乙基	yvt gei
乙巳	yvt zi
乙方	yvt foj
乙未	yvt mei
乙氧基	yvt yxj gei
乙氨基	yvt on gei
乙炔	yvt kvt
乙烯	yvt hei
乙烯基	yvt hei gei
乙烷	yvt yvn
乙状结肠	yvt zoj git cxj
乙种	yvt zuj
乙种促效剂	yvt zuj cuk hau zri
乙种射线	yvt zuj se sin
乙种粒子	yvt zuj lrp zi
乙肝	yvt gon
乙脑	yvt nou
乙酉	yvt yru
乙酰	yvt sin
乙酰胺吡咯烷酮	yvt sin on bei lok yvn tuj
乙酰胆碱	yvt sin dam gan
乙酸	yvt svn
乙酸基	yvt svn gei
乙酸根	yvt svn grn
乙酸盐	yvt svn yim
乙醇	yvt sxn
乙醇酸	yvt sxn svn
乙醚	yvt mri
乙醛	yvt cvn
乜嘢	mrt ye
乜斜	me ce
九一八事变	gru yrt bat si bin
九三学社	gru sam hok se
九九乘法表	gru gru sij fat biu
九九归一	gru gru guri yrt
九九重阳	gru gru cuj yxj
九份	gru frn
九分之一	gru frn zi yrt
九十	gru srp
九卿	gru hij
九原区	gru yvn kxi
九台	gru toi
九台市	gru toi si
九天	gru tin
九天揽月	gru tin lam yvt
九天玄女	gru tin yvn nxi
九如	gru yv
九如乡	gru yv hxj
九孔	gru huj
九孔螺	gru huj lo
九官鸟	gru gun niu
九宫山	gru guj san
九宫山镇	gru guj san zrn
九宫格数独	gru guj gak sou duk
九寨沟	gru zai kru
九寨沟县	gru zai kru yvn
九寨沟风景名胜区	gru zai kru fuj gij mij sij kxi
九尾狐	gru mei wu
九尾龟	gru mei guri
九层塔	gru crj tap
九嶷山	gru yi san
九州	gru zru
九巴	gru ba
九成	gru sij
九折	gru zit
九旬老人	gru cxn lou yrn
九月	gru yvt
九月份	gru yvt frn
九校联盟	gru hau lvn mrj
九归	gru guri
九死一生	gru sei yrt srj
九江	gru goj
九江地区	gru goj dei kxi
九江市	gru goj si
九江县	gru goj yvn
九泉	gru cvn
九流	gru lru
九渊	gru yvn
九牛一毛	gru jru yrt mou
九牛二虎之力	gru jru yi fu zi lik
九窍	gru hiu
九章算术	gru zxj svn sxt
九声六调	gru sij luk diu
九华山	gru wa san
九号球	gru hou kru
九边形	gru bin yij
九里	gru lei
九里区	gru lei kxi
九重霄	gru cuj siu
九零后	gru lij hru
九霄云外	gru siu wrn joi
九面体	gru min tri
九头鸟	gru tru niu
九鼎	gru dij
九齿钉耙	gru ci dej ba
九龙	gru luj
九龙坡	gru luj bo
九龙坡区	gru luj bo kxi
